3;-95;1072;11.87;46.2170895;6.1274765
3;-80;2101;3.12;46.2170895;6.1274765
3;-78;3424;2.62;46.2175988;6.1270311
3;-82;4506;3.97;46.2175988;6.1270311
3;-81;5617;3.45;46.2175988;6.1270311
3;-86;6629;5.6;46.2175988;6.1270311
3;-79;7718;3.02;46.2175988;6.1270311
3;-78;8786;2.62;46.2175988;6.1270311
3;-80;9844;3.12;46.2175988;6.1270311
3;-80;10900;3.12;46.2175988;6.1270311
3;-80;11957;3.12;46.2175988;6.1270311
3;-81;13016;3.45;46.2174045;6.1273383
3;-81;14054;3.45;46.2174045;6.1273383
3;-81;15086;3.45;46.2174045;6.1273383
3;-81;16126;3.45;46.2166681;6.1284397
3;-81;17149;3.45;46.2166681;6.1284397
3;-97;18213;13.74;46.2166681;6.1284397
3;-75;19249;2.0;46.2166386;6.1286067
3;-75;20303;2.0;46.2166386;6.1286067
3;-78;21341;2.62;46.2166386;6.1286067
3;-78;22402;2.62;46.2166542;6.1286127
3;-78;23435;2.62;46.2166542;6.1286127
3;-78;24462;2.62;46.2166542;6.1286127
3;-93;25501;10.23;46.2166236;6.1287113
3;-82;26526;3.97;46.2166236;6.1287113
3;-91;27584;8.32;46.2166236;6.1287113
3;-91;28652;8.32;46.2166068;6.1287831
3;-91;29731;8.32;46.2166068;6.1287831
3;-99;30808;16.72;46.2166068;6.1287831
3;-87;31866;5.99;46.2165754;6.1288721
3;-83;32917;4.32;46.2165754;6.1288721
3;-81;33963;3.45;46.2165754;6.1288721
3;-81;34983;3.45;46.2164646;6.1292516
3;-90;36053;7.6;46.2164646;6.1292516
3;-84;37087;4.63;46.2164646;6.1292516
3;-82;38131;3.97;46.2164646;6.1292516
3;-92;39167;9.48;46.2162012;6.1301453
3;-84;40276;4.63;46.2162012;6.1301453
3;-75;41303;2.0;46.2162012;6.1301453
3;-75;42330;2.0;46.2161513;6.1302285
3;-88;43381;6.49;46.2161513;6.1302285
3;-78;44472;2.62;46.2161513;6.1302285
3;-78;45492;2.62;46.2161196;6.1303485
3;-78;46578;2.62;46.2161196;6.1303485
3;-82;47605;3.97;46.2161196;6.1303485
3;-82;48626;3.97;46.216094;6.1304688
3;-82;49729;3.97;46.216094;6.1304688
3;-76;50765;2.22;46.216094;6.1304688
3;-76;51815;2.22;46.2160284;6.1307384
3;-76;52869;2.22;46.2160284;6.1307384
3;-76;53878;2.22;46.2160284;6.1307384
3;-78;54939;2.62;46.2160274;6.1307633
3;-83;55992;4.32;46.2160274;6.1307633
3;-85;57044;5.1;46.2160274;6.1307633
3;-82;58081;3.97;46.2160855;6.1307505
3;-89;59096;7.41;46.2160855;6.1307505
3;-89;60120;7.41;46.2160855;6.1307505
3;-80;61149;3.12;46.2160855;6.1307505
3;-80;62187;3.12;46.2161327;6.130775
3;-79;63247;3.02;46.2161327;6.130775
3;-79;64265;3.02;46.2161327;6.130775
3;-79;65301;3.02;46.2161496;6.1308305
3;-79;66350;3.02;46.2161496;6.1308305
3;-90;67406;7.6;46.2161496;6.1308305
3;-76;68462;2.22;46.2161786;6.1309109
3;-78;69514;2.62;46.2161786;6.1309109
3;-78;70559;2.62;46.2161751;6.1309018
3;-78;71608;2.62;46.2161751;6.1309018
3;-82;72664;3.97;46.2161751;6.1309018
3;-77;73731;2.4;46.2161742;6.1309025
3;-81;74778;3.45;46.2161742;6.1309025
3;-81;75836;3.45;46.2161742;6.1309025
3;-80;76864;3.12;46.2161742;6.1309025
3;-80;77902;3.12;46.2161742;6.1309025
3;-80;78946;3.12;46.2161742;6.1309025
3;-96;79983;12.95;46.2161064;6.1308821
3;-85;80997;5.1;46.2161064;6.1308821
3;-84;82044;4.63;46.2161064;6.1308821
3;-79;83055;3.02;46.2161064;6.1308821
3;-83;84122;4.32;46.2161602;6.1308605
3;-76;85192;2.22;46.2161602;6.1308605
3;-76;86237;2.22;46.2161524;6.1308121
3;-76;87277;2.22;46.2161524;6.1308121
3;-82;88296;3.97;46.2161524;6.1308121
3;-82;89387;3.97;46.2161538;6.1308125
3;-79;90426;3.02;46.2161538;6.1308125
3;-79;91498;3.02;46.2161538;6.1308125
3;-77;92532;2.4;46.2161729;6.1307827
3;-77;93599;2.4;46.2161729;6.1307827
3;-82;94708;3.97;46.2161729;6.1307827
3;-82;95727;3.97;46.2161729;6.1307827
3;-90;96800;7.6;46.2161729;6.1307827
3;-84;97839;4.63;46.2161729;6.1307827
3;-86;98886;5.6;46.2161374;6.1307707
3;-86;99917;5.6;46.2161374;6.1307707
3;-86;100971;5.6;46.2161374;6.1307707
3;-94;102023;10.88;46.2160542;6.1307257
3;-80;103296;3.12;46.2160542;6.1307257
3;-86;104388;5.6;46.2160542;6.1307257
3;-86;105416;5.6;46.216034;6.1308005
3;-82;106454;3.97;46.216034;6.1308005
3;-82;107488;3.97;46.216034;6.1308005
3;-80;108530;3.12;46.2159804;6.1307859
3;-78;109547;2.62;46.2159804;6.1307859
3;-78;110625;2.62;46.2159804;6.1307859
3;-79;111665;3.02;46.2158686;6.130858
3;-79;112767;3.02;46.2158686;6.130858
3;-80;113795;3.12;46.2158686;6.130858
3;-78;114824;2.62;46.2157997;6.1308749
3;-78;115868;2.62;46.2157997;6.1308749
3;-77;116945;2.4;46.2157997;6.1308749
3;-78;118010;2.62;46.2157075;6.1309027
3;-92;119028;9.48;46.2157075;6.1309027
3;-82;120080;3.97;46.2157075;6.1309027
3;-90;121105;7.6;46.2156649;6.1308748
3;-90;122152;7.6;46.2156649;6.1308748
3;-90;123217;7.6;46.2156649;6.1308748
